ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
IKarmenkaz,IKarmenkaz,275,198,22231,2126,,
mikelarrietah,mikelarrietah,310,42,3911,38,,
yolanda262,yolanda262,354,764,46468,3128,Greenland,España
skamoni3,skamoni3,429,298,3155,547,Madrid,"Tortosa, Les Terres de l'Ebre"
dfloj,dfloj,320,84,2585,5078,Athens,
CocaMaite,CocaMaite,87,39,405,338,,
juliangrau,juliangrau,1609,1210,90912,88645,,"Barcelona, Catalunya"
domgonpri,domgonpri,606,134,1750,954,,
JBGandul,JBGandul,96,87,1820,234,Amsterdam,Galifrey
El_Gran_Lama,El_Gran_Lama,153,90,4522,74,Madrid,de paseo por Pavía
Irialume,Irialume,8225,7933,263481,131990,Madrid,
borjabaezabj,borjabaezabj,417,190,754,37,,"Baeza, España"
giftields,giftields,772,369,19694,37130,Madrid,"Mistery Shack, Gravity Falls"
javierfflores,javierfflores,265,148,1893,872,Greenland,Badalona
pilukify,pilukify,158,70,5145,627,,"Parets del Vallès, España"
evaortiz597,evaortiz597,11674,11805,170558,44351,,
SandrixPls,SandrixPls,244,556,80905,25165,Madrid,10880 Malibu Point 90265
marcosbgspain,marcosbgspain,69,150,8227,1189,,"Valencia, España"
AlejandroAntifa,AlejandroAntifa,553,337,5275,1066,,"Stalingrado,URSS"
analuna69,analuna69,542,189,5374,44,,
marc_strike,marc_strike,646,921,20236,9970,Athens,Neverland
AdelaRo90101767,AdelaRo90101767,113,62,4060,589,,
JuanyGar63,JuanyGar63,2798,9448,298559,42352,,Macondo
LeilaYStitch,LeilaYStitch,366,624,7981,1452,Pacific Time (US & Canada),Castilla socialista
rncbsn92,rncbsn92,789,235,11845,1402,Pacific Time (US & Canada),Madrid/Gran Canaria
patxipamplona,patxipamplona,240,149,2670,418,Lisbon,
miguelinpin,miguelinpin,2153,530,6774,8213,Madrid,Lanzarote | Canarias | España
el_amapola,el_amapola,200,87,1060,3,,
isoladafionas,isoladafionas,20,11,1518,10,,
er_retuiteado,er_retuiteado,2687,1148,80209,2,Pacific Time (US & Canada),
Agente03077434,Agente03077434,82,22,203,120,,
PabloGvx,PabloGvx,174,41,922,327,,
adrianLG45,adrianLG45,103,179,37589,41310,,Españistán
Lolo_Sev,Lolo_Sev,2292,11321,102974,33192,Pacific Time (US & Canada),más allá de Orión
Mundoconmisojos,Mundoconmisojos,465,1718,35348,3360,Pacific Time (US & Canada),España
nonymousNews,nonymousNews,3407,7578,6718,489,Amsterdam,Ciudadan@s del Mundo
CarmenMayordom1,CarmenMayordom1,194,56,1832,343,,
DEEMIAN666,DEEMIAN666,4446,3645,46997,76,Pacific Time (US & Canada),
rosarobco,rosarobco,15447,16186,342166,181163,Madrid,Madrid
unaguacero,unaguacero,339,112,5310,1067,,
Garzoners_,Garzoners_,371,504,16054,10712,,En nuestro escaño (i+c)
Manjitklan,Manjitklan,122,141,11550,295,Madrid,kopon
Joseadpg,Joseadpg,1216,1601,108014,91387,Madrid,Madrid. España
4mayuscula,4mayuscula,204,2626,41470,74154,Europe/Madrid,Jaén - Madrid
ManuelG91623212,ManuelG91623212,2618,1540,63656,4771,,"Cataluña, España"
JohnConstantin1,JohnConstantin1,192,537,109725,57733,,Newcastle
Todd_Hockney,Todd_Hockney,3382,7075,57719,2359,Paris,UK
locuspolitikus,locuspolitikus,5096,5012,257423,21926,,"Barcelona, Cataluña"
Jafuselai,Jafuselai,481,656,26911,10169,Madrid,Islas Feroe ojalá
NaiaLaPapaya,NaiaLaPapaya,852,1582,67404,55277,Athens,Soy 75% española y 25% papaya
ViasEnri,ViasEnri,1426,1458,64996,30522,,Castellón
SanderLadetu,SanderLadetu,2921,3401,110080,2927,Greenland,
JoseMariArroyo,JoseMariArroyo,1668,845,13874,102,Madrid,
LAblaut,LAblaut,250,45,8476,1039,,
Andres_Boix,Andres_Boix,1212,5130,47891,1313,Paris,
BGB85,BGB85,1508,366,38974,1984,Athens,
AnaJuradoR,AnaJuradoR,475,301,15441,16451,,"Malgrat de Mar, España"
DomingoMachin,DomingoMachin,424,652,9620,10973,London,"Guiniguada, Awanyak n Taknara"
usualminds,usualminds,697,891,1401,600,Madrid,Huelva
fuentedelberro,fuentedelberro,22596,22485,60595,17023,,
naranjorafael2,naranjorafael2,6665,6562,49012,32708,Madrid,"Barcelona, Catalunya "
Rosario_Sanjuan,Rosario_Sanjuan,977,735,23362,7095,Europe/Madrid,
pedrojaviermar2,pedrojaviermar2,4097,4266,75892,15296,,El mundo
RichardRahl21,RichardRahl21,248,504,33348,29573,Amsterdam,
ismitis,ismitis,177,186,51,62,Madrid,
ccclaudiacr,ccclaudiacr,411,1285,41502,26029,Pacific Time (US & Canada),
lapepa1958,lapepa1958,49,34,3240,4667,,
PaulaIglesias11,PaulaIglesias11,417,623,19485,3674,International Date Line West,Cáceres.
hannahbcn1,hannahbcn1,2315,2067,85263,32430,Madrid,"Barcelona, Catalunya"
europa6565,europa6565,782,524,18173,1278,,"País Vasco, España"
mariavazquezgen,mariavazquezgen,451,684,46898,12074,Pacific Time (US & Canada),Galicia
Alberto_MSan,Alberto_MSan,150,163,10140,2933,Madrid,"Badajoz, España"
Espigao00,Espigao00,756,305,8287,640,Amsterdam,@TaaniaZ
queridotonisky,queridotonisky,303,917,160706,73941,Madrid,Mallorca-Club de la Serpiente.
PalPakiyo,PalPakiyo,1392,364,21538,2304,Madrid,
InesGilabert,InesGilabert,508,553,10763,5638,Belgrade,Beniarbeig - País Valencià 
LordPetricor,LordPetricor,277,766,23931,48151,,"Aguascalientes, México"
miralles1980,miralles1980,1166,979,24686,9547,Madrid,"Gouda, Nederland"
ComandanteVimes,ComandanteVimes,468,3600,287432,89206,Madrid,
aurora6501,aurora6501,415,235,20457,4377,Greenland,Logroño España
Kyke197,Kyke197,452,297,14346,7521,,Temerant
farre_esteban,farre_esteban,125,223,24372,15169,,República de Catalunya- UE. 
mariaolivermas,mariaolivermas,677,704,35891,23150,,"Sanet y Negrals, País Valencià"
antoniovl000,antoniovl000,5002,1380,26050,6142,Amsterdam,"Elfocidade, Spain"
PapiChiruli,PapiChiruli,24,9,86,62,,Burkina Faso
CultBetanceira,CultBetanceira,2004,445,4480,1316,Amsterdam,
Hemera81,Hemera81,322,105,3100,759,Athens,
Ccordong,Ccordong,197,181,3040,682,,Córdoba - España
Donovan_Bow,Donovan_Bow,143,497,12190,9924,Athens,
MatiasTrancas,MatiasTrancas,3501,1717,5144,223,,Españistán
plazadelxuquer,plazadelxuquer,418,219,12898,61,,Valencia-budapest
jvelascoerro,jvelascoerro,84,331,101396,2040,,
lescorniflaire,lescorniflaire,1484,2219,28563,14637,Madrid,"República de Catalunya, UE."
TaraEscarlata,TaraEscarlata,3415,5117,284774,111212,,
BartoloMolo,BartoloMolo,113,40,2929,1925,Ljubljana,"Barcelona, Cataluña"
mikeosin,mikeosin,584,340,5615,1119,Madrid,Donostia - Euskal Herria
bebeagua60,bebeagua60,2519,4213,73861,387,,
luk131256,luk131256,30,47,4830,11,,
Dariocofi,Dariocofi,180,132,14135,1876,,
jalcuten,jalcuten,299,208,1806,61,Madrid,Madrid
marcedber,marcedber,88,127,18136,9606,London,LANZAROTE
KikeMoratalaz,KikeMoratalaz,568,3051,72770,19512,Greenland,"Barrio de Moratalaz, Madrid"
noebah,noebah,1722,568,25739,6684,Amsterdam,21st Century Ireland-Spain
habladorymalo,habladorymalo,1505,1276,28378,10630,Pacific Time (US & Canada),"Logroño, La Rioja"
romano_nagel,romano_nagel,207,24,997,52,Pacific Time (US & Canada),Aquí y allá...
AAbienestar,AAbienestar,698,872,1123,613,Madrid,"Comunidad de Madrid, España"
tonimanero1936,tonimanero1936,34,5,31,0,,"Madrid, Comunidad de Madrid"
GabrielFP19,GabrielFP19,645,942,18969,5204,Amsterdam,"Tonga, mon amour"
eidergorostiza,eidergorostiza,1717,3727,134901,215956,Athens,Euskal Herria
p1T25hLLsU6wTSp,p1T25hLLsU6wTSp,104,29,1197,1088,,
woodyleon,woodyleon,252,62,1514,121,Madrid,León (Spain)
lorenzoMangas,lorenzoMangas,242,115,1200,5433,,"Córdoba, España"
ENSANXEMOBB,ENSANXEMOBB,148,289,33657,6914,Athens,La Duat
kontxiportillo,kontxiportillo,178,27,1435,219,,
ArturoRojillo,ArturoRojillo,1720,1900,37067,10748,Greenland, Sarriguren
_Carlos_RqR,_Carlos_RqR,2818,2211,2945,1438,Madrid,
7Josean7,7Josean7,28226,28738,173594,135865,,"Bilbao, España"
EnfermeraTati,EnfermeraTati,503,80,3868,13,London,
kokoak11,kokoak11,285,22,333,34,,
SLAYDlXON,SLAYDlXON,3698,14870,100971,18627,Madrid,naz amby isa paige || WSC 2018
jotae1e,jotae1e,140,60,3404,107,Madrid,Barcelona
joseramb,joseramb,79,31,2591,517,Greenland,
000120o,000120o,504,3584,647780,88918,Pacific Time (US & Canada),Italia-Roma
V0uk0l,V0uk0l,390,82,1029,1802,,"Madrid, Comunidad de Madrid"
alterego1714,alterego1714,47,17,2285,1561,,
fredengomez,fredengomez,4704,1825,63606,20069,Madrid,"Cádiz, España"
7Xiang7,7Xiang7,340,162,11122,7197,Athens,
imaginenuri,imaginenuri,1281,1332,82266,15037,,Me hallo
