ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
juanXupino,juanXupino,2017-03-28 12:02:54,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",180,205,2278,2332,,En mi puta casa city
MolleEstrella,MolleEstrella,2017-03-28 12:02:47,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",2433,944,4841,1458,,
ximoilicitano14,ximoilicitano14,2017-03-28 12:02:14,#PolemicaPodemosM4 @agarzon :K unos tuiteros sean juzgados x terrorismo x hacer chistes d Carrero Blanco ¡eso pasa… https://t.co/uRb84PMWyW,847,584,8657,5671,,
AdrianCarPal,AdrianCarPal,2017-03-28 12:01:49,"RT @bufetalmeida: Que intervenga la Guardia Civil de oficio, por favor. Si son tan rápidos con Carrero Blanco, que lo sean también con el H…",349,503,24566,7829,,Sevilla 
bufetalmeida,bufetalmeida,2017-03-28 12:00:55,"Que intervenga la Guardia Civil de oficio, por favor. Si son tan rápidos con Carrero Blanco, que lo sean también con el Holocausto.",17,32019,57999,5503,Madrid,Spain
serdeluc,serdeluc,2017-03-28 12:00:34,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",1347,332,2320,82,,"Madrid, Comunidad de Madrid"
FaustodelaCalle,FaustodelaCalle,2017-03-28 12:00:31,O como se detiene en tuiter por chistes de Carrero Blanco https://t.co/FyAzbh1n4K,705,617,10806,3027,Athens,
AcostaRoux,AcostaRoux,2017-03-28 11:59:01,RT @eljueves: La Audiencia Nacional juzga hoy a @kira_95 por unos chistes de Carrero Blanco porque en España hay muy pocos delitos que pers…,21,0,4,4,,
Jonathan_HG91,Jonathan_HG91,2017-03-28 11:58:58,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",3356,3243,481595,78212,Amsterdam,Sanlúcar de Barrameda (Cádiz)
monograficotwit,monograficotwit,2017-03-28 11:58:56,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",1574,620,29600,2665,,North by Northwest
isaelbal,isaelbal,2017-03-28 11:58:46,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",492,2300,16168,1788,,
MarianneRants,MarianneRants,2017-03-28 11:58:19,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",494,692,76420,33708,Madrid,Octopus's Garden in the shade
tato1991ur,tato1991ur,2017-03-28 11:57:25,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",3092,2236,42769,12283,Amsterdam,Suiza 
RebelinAluminio,RebelinAluminio,2017-03-28 11:57:19,"RT EsquerdaUnida ""RT iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" agarzon …",3591,4020,721015,20262,Athens,"La Coruña, Galicia"
EsquerdaUnida,EsquerdaUnida,2017-03-28 11:57:00,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",2223,8173,19542,18458,Amsterdam,Galicia
IsaAranjuez,IsaAranjuez,2017-03-28 11:56:41,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",98,19769,821591,101328,Greenland,Málaga
rcko3,rcko3,2017-03-28 11:56:21,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",2131,2205,198601,27171,,
cpugena,cpugena,2017-03-28 11:55:46,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",1446,916,54789,28710,Madrid,
IUBaena,IUBaena,2017-03-28 11:55:20,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",863,941,21857,2506,,"Baena, España"
JovenesIU_Cant,JovenesIU_Cant,2017-03-28 11:55:18,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",453,841,6757,39,Athens,Cantabria
iupielagos,iupielagos,2017-03-28 11:55:18,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",119,236,5234,68,Madrid,Piélagos. Cantabria
PodemitaParis,PodemitaParis,2017-03-28 11:55:15,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",782,247,5019,4971,Athens,"Paris, France"
JP_TheRipper,JP_TheRipper,2017-03-28 11:55:12,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",1514,1727,67166,25758,Madrid,"San Fernando, Cádiz"
lachicadeayer61,lachicadeayer61,2017-03-28 11:55:05,"RT @iunida: ""Chistes sobre Carrero Blanco, que hace 40 años eran normales, ahora son perseguidos por la justicia"" @agarzon #PolémicaPodemos…",1195,893,23144,3271,,
ximoilicitano14,ximoilicitano14,2017-03-28 11:54:58,#PolemicaPodemosM4 @JoaquimBoschGra d jueces xra la democracia! la policía no está xra perseguir chistes d tuiteros… https://t.co/YHGX58Q7Bb,847,584,8657,5671,,
PakoBree,PakoBree,2017-03-28 11:54:35,RT @HogarSocialMad: Denunciaremos a la policía la existencia de este chiste por racista antiblanco y por humillar a pobres víctimas como Ca…,61,212,47843,15162,Madrid,Debajo de la cama de tu madre
PakoBree,PakoBree,2017-03-28 11:54:23,"RT @HogarSocialMad: Buscamos al autor de este chiste sobre el astronauta Carrero Blanco. Avisaremos a nuestros camaradas fiscales, polis y…",61,212,47843,15162,Madrid,Debajo de la cama de tu madre
