ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
mismuertxs,mismuertxs,412,823,4846,25185,Amsterdam,"Madrid, Comunidad de Madrid"
manurochez,manurochez,248,691,33159,9807,Greenland,"Madrid, Comunidad de Madrid"
emberdas,emberdas,232,1439,32306,54910,Athens,el parke
monograficotwit,monograficotwit,1574,620,29600,2665,,North by Northwest
Paula__ska,Paula__ska,70,715,40252,18364,Athens,un mar de fueguitos (Madrid)
JuliaBayo1,JuliaBayo1,1362,698,8388,6117,,
PodemosCCCP,PodemosCCCP,1610,3474,103276,107066,Madrid,Desde el Elba hasta el Vostok.
PEvolucionclm,PEvolucionclm,498,165,582,736,,"Castilla-La Mancha, España"
__Shaketsu,__Shaketsu,407,376,15359,16098,,Catalunya Soviética
SRodrigoAH,SRodrigoAH,116,34,2535,112,,
TocawebsReal,TocawebsReal,378,518,9510,1832,,
Moonrider_acme,Moonrider_acme,121,58,2732,7007,,Teldrassil
AlfredHitchog,AlfredHitchog,125,262,35808,11603,Amsterdam,La Ciudad del viento/URSI
IUmerida,IUmerida,1504,1039,7908,3064,Madrid,"Mérida, Extremadura"
jacquesjose48,jacquesjose48,320,234,13605,7872,,"Santa Pola, España635495710"
andres_baco,andres_baco,91,144,4232,2932,International Date Line West,"Terrassa, España"
Bokkata,Bokkata,377,182,12376,3459,Athens,
000120o,000120o,509,3595,650319,88987,Pacific Time (US & Canada),Italia-Roma
ederibarguren,ederibarguren,706,1472,10198,2670,Amsterdam,"Andoain, País Vasco"
MumBronte,MumBronte,411,327,7537,1376,Amsterdam,"Santiago de Compostela, España"
FeliMuriAcedo68,FeliMuriAcedo68,232,133,1336,802,,
vilsalvadir,vilsalvadir,8028,8222,30772,17025,Pacific Time (US & Canada),"Salamanca, España"
vmm7773,vmm7773,45844,56484,55327,74850,Pacific Time (US & Canada),El Infierno
lestorrat13,lestorrat13,56,63,4022,224,,
MomoBux1,MomoBux1,647,171,3228,1367,,
expiresoon,expiresoon,984,290,3811,131,,Barcelona 
contonando,contonando,186,271,31843,12917,,
gulasus,gulasus,439,316,18210,20558,Pacific Time (US & Canada),
laug759,laug759,235,132,7674,7000,,Galicia Canibal
