ID,User,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
846110850230423553,Cristin08jesse,2017-03-26 21:25:21,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",426,4205,111723,198393,,Soy de lejos.
846110787991224320,sr_innavoig,2017-03-26 21:25:06,"RT @subversivos_: PONLE CHISTE A LA IMAGEN: 15 chistes sobre Carrero Blanco firmados por usuarios de Internet @eljueves ¡VALIENTES! ✊
https…",220,272,8180,8338,Pacific Time (US & Canada),Chinazuela del Norte 
846110719724736512,chooccha,2017-03-26 21:24:50,"RT @gerardotc: La Fiscalía parece que sólo se preocupa de los de arriba, como Carrero Blanco.",579,148,6216,3396,Amsterdam,
846110566280318976,SusDenMucho,2017-03-26 21:24:13,"RT @subversivos_: PONLE CHISTE A LA IMAGEN: 15 chistes sobre Carrero Blanco firmados por usuarios de Internet @eljueves ¡VALIENTES! ✊
https…",471,140,2161,25,Athens,En el Globo
846110464425824257,potytoo,2017-03-26 21:23:49,"@delaCreu cuidado amigo q después de esto como se te ocurra pronunciar,Carrero Blanco,pr ejemplo,es agravante.Y si t gustan los libros...uuf",1987,1079,9385,3933,,Ceuta/Marbella/Milano
846110278450397185,gelu_lopez,2017-03-26 21:23:05,Carrero Blanco impulsó muchas medidas económicas. La última fue poner la gasolina por las nubes,198,419,47418,8402,Amsterdam,"Não-Me-Toque, Brasil"
846110265397653504,1996Boldi,2017-03-26 21:23:01,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",318,304,20837,6097,Amsterdam,
846110163367084033,gelu_lopez,2017-03-26 21:22:37,Cuál fue la última marcha que puso en su coche Carrero Blanco? La marcha fúnebre”,198,419,47418,8402,Amsterdam,"Não-Me-Toque, Brasil"
846109737628450816,MeLlamanPortas,2017-03-26 21:20:56,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",418,328,17567,1921,,En el centro de quimismo
846109640526049281,SanJosemiguel,2017-03-26 21:20:32,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",390,264,4250,1610,,
846109065596035073,IMPECABLE10,2017-03-26 21:18:15,"RT @SextaNocheTV: .@AntonioMaestre ""Tendría que existir el derecho a celebrar la muerte de Carrero Blanco"" #L6Ntuitcarrero",1352,649,111347,42291,Madrid,
846108918791200769,Mia_Wallace_797,2017-03-26 21:17:40,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",304,780,71044,35719,Madrid,"Los Angeles, CA"
846107766133547012,__Z__Z__Z__Z__,2017-03-26 21:13:06,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",131,111,599,317,Madrid,127.0.0.1
846106970495074304,no_sube,2017-03-26 21:09:56,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",299,226,7011,6262,Madrid,"Madrid, España"
846106037967077376,pablo_obregon,2017-03-26 21:06:13,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",1068,378,24845,11501,Madrid,sotto l'ombra di un bel fior
846105698144604170,Jcongo15,2017-03-26 21:04:52,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",578,497,14161,8318,Athens,Madrid-España
846105629454422016,Ana10vina,2017-03-26 21:04:36,RT @elmundotoday: Cómo hacer chistes sobre Carrero Blanco sin acabar en la Audiencia Nacional https://t.co/obO1O8ZudM https://t.co/04HAOMyB…,419,598,18415,5983,Amsterdam,"Mirando al mar o al Ebro,según"
846105566095249408,nenasub2,2017-03-26 21:04:21,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",591,3491,84228,132198,Pacific Time (US & Canada),"Ordino, Andorra"
846105443843952643,fatii_23_,2017-03-26 21:03:52,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",971,1123,19579,23803,Madrid,"Alcalá de Henares, España"
846105159579119617,Darthpitufo,2017-03-26 21:02:44,"RT @EsppeonzAguirre: ➖Bromas sobre Carrero Blanco = Procesamiento
➖Burlas sobre los fusilados enterrados en CUNETAS = VOTOS
 #FelizDomingo…",92,27,3791,4171,,Getafe
846105067837116417,esasOtra,2017-03-26 21:02:22,"“Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",223,3021,52714,46593,,Spanien
846104918595383297,irodripez,2017-03-26 21:01:47,Alucino con algunas cuentas de twitter. Eso si luego un juicio por los chistes sobre Carrero Blanco.,270,66,435,799,Pacific Time (US & Canada),"De aquí, de allá."
